City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,hofn,64.25,-15.21,38.35,70,91,6.04,IS,1615093315
131,shingu,33.73,135.98,55.4,58,75,8.05,JP,1615093315
132,irmo,34.09,-81.18,37.4,75,1,3.44,US,1615093316
133,fort nelson,58.81,-122.7,23.0,80,40,3.44,CA,1615093316
134,hay river,60.82,-115.8,10.4,92,89,2.3,CA,1615093317
135,gua musang,4.88,101.96,91.09,42,87,2.89,MY,1615093318
136,ponta delgada,37.73,-25.67,60.8,94,75,17.27,PT,1615093319
137,zhezkazgan,47.8,67.71,24.51,96,86,7.74,KZ,1615093319
138,pasighat,28.07,95.33,80.08,33,70,2.06,IN,1615093320
139,lake havasu city,34.48,-114.32,71.6,13,20,4.61,US,1615093321
140,maposeni,-10.58,35.4,68.0,100,75,3.44,TZ,1615093322
141,erzin,36.96,36.2,53.01,86,33,0.54,TR,1615093322
142,moshkovo,55.31,83.61,21.0,67,0,15.66,RU,1615093323
143,haines junction,60.75,-137.51,23.0,46,100,5.75,CA,1615093323
144,pacific grove,36.62,-121.92,51.8,71,1,6.91,US,1615093033
145,karmaskaly,54.37,56.18,1.4,92,40,6.71,RU,1615093325
146,faanui,-16.48,-151.75,83.21,69,100,11.81,PF,1615093325
147,nouadhibou,20.93,-17.03,62.17,75,0,25.41,MR,1615093274
148,san antonio,29.42,-98.49,57.0,58,1,3.44,US,1615093286
149,dingle,11.0,122.67,85.26,60,95,15.1,PH,1615093327
150,pangoa,-12.12,-73.0,67.73,96,79,1.07,PE,1615093327
151,saint-joseph,-21.37,55.62,80.6,89,75,21.85,RE,1615093231
152,sur,22.57,59.53,78.67,60,0,13.33,OM,1615093328
153,antalaha,-14.9,50.28,77.76,73,95,3.44,MG,1615093240
154,saskylakh,71.92,114.08,-19.79,86,96,6.8,RU,1615093330
155,chokurdakh,70.63,147.92,-14.01,88,100,14.23,RU,1615093139
156,bambous virieux,-20.34,57.76,80.01,94,75,11.5,MU,1615093270
